P-Value,Correlation
2.791814318804118e-07,0.9840296667054518
2.569086257928022e-05,0.9500228008178474
0.1009876462847398,0.5480344820059684
0.4311541180724076,-0.2812565993755679
0.0007770241164668,0.8802379105648039
0.000720656659246,0.8825570295438546
1.1341799216445925e-06,0.9772805167975052
0.0002871910976632,-0.9507808538495996
4.463876759340257e-06,-0.9679085420297708
0.0040488775424071,0.8152841842887446
0.0940658854485511,-0.5574820362109179
0.0132908855194341,-0.7456593960555976
3.742215633786213e-06,0.9693055774495056
1.7666597042544249e-06,0.9745979480119172
1.7813311261301026e-05,0.9544565989177658
0.0128323920748639,0.7480836229067691
0.0325434772482179,-0.674121355114173
