P-Value,Correlation
0.0040539443421772,0.8459046531145623
0.0003672470065121,0.9241476744093978
0.3865155072996978,0.329523477189147
0.6037030951857179,0.2011957100761711
0.0121936413452463,0.7850742284480934
0.0010436488244578,0.8969721979442093
0.0022797331208964,0.8701997388787156
0.0078434165206442,-0.8477682373669639
0.0002979007748808,-0.9286417009383348
0.0109050876315035,0.7922739150557732
0.062749083069143,-0.6411642200297965
0.0665015598371101,-0.6343693731830635
0.0026710701548911,0.8639415144723956
0.0071526714210296,0.8172215155571613
0.0023697389509283,0.8686983288550657
0.0056543880149557,0.8297257609648107
0.0001536511007774,-0.94115000776247
