P-Value,Correlation
0.0039532396362299,0.8164538037544363
0.005894082731923,0.795825034748418
0.1086902726058723,0.537991560420772
0.665828734206084,-0.1565442157819113
0.025763728366853,0.6947473428532562
0.0317963379800436,0.676241390486628
0.0136208144317119,0.7439509040231393
0.0005849283703637,-0.9373972550771508
0.0004651976763457,-0.8951435559733081
0.0166742254650201,0.7293646488786455
0.0905818432427041,-0.5624056155485435
0.0454774828513193,-0.6417375478109503
0.000321597797791,0.9046708677661096
2.581464346705916e-06,0.9720499650484922
5.431284840406497e-05,0.9395430231707154
0.0245957086499628,0.6986655139658048
0.0004966888061932,-0.8933527857183128
